File_ID,System_ID,cell_id,file_name,extension,folder,file_size_MB,file_path
77,54.0,94.0,Na_C20FormC2Cycle_cell_94_channel_42.hdf5,hdf5,C20Formation C2 Cycle,15.88,/Users/pranavdevkar/Downloads/Na_upscaling_extracted/Na-upscaling/C20Formation C2 Cycle/Na_C20FormC2Cycle_cell_94_channel_42.hdf5
78,55.0,95.0,Na_C20FormC2Cycle_cell_95_channel_43.hdf5,hdf5,C20Formation C2 Cycle,17.16,/Users/pranavdevkar/Downloads/Na_upscaling_extracted/Na-upscaling/C20Formation C2 Cycle/Na_C20FormC2Cycle_cell_95_channel_43.hdf5
79,45.0,69.0,test_24_cell69_C20Form_C2Cycle_23-03-02_Channel_24_Wb_1.CSV,csv,test_24_cell69_C20Form_C2Cycle_23-03-02_2023_03_02_150956,25.84,/Users/pranavdevkar/Downloads/Na_upscaling_extracted/Na-upscaling/C20Formation C2 Cycle/test_24_cell69_C20Form_C2Cycle_23-03-02_2023_03_02_150956/test_24_cell69_C20Form_C2Cycle_23-03-02_Channel_24_Wb_1.CSV
80,50.0,86.0,test_24_cell86_C20Form_C2Cycle_23-03-09_Channel_24_Wb_1.CSV,csv,test_24_cell86_C20Form_C2Cycle_23-03-09_2023_03_09_123431,45.86,/Users/pranavdevkar/Downloads/Na_upscaling_extracted/Na-upscaling/C20Formation C2 Cycle/test_24_cell86_C20Form_C2Cycle_23-03-09_2023_03_09_123431/test_24_cell86_C20Form_C2Cycle_23-03-09_Channel_24_Wb_1.CSV
81,44.0,68.0,test_25_cell68_C20Form_C2Cycle_23-03-02_Channel_25_Wb_1.CSV,csv,test_25_cell68_C20Form_C2Cycle_23-03-02_2023_03_02_151011,32.89,/Users/pranavdevkar/Downloads/Na_upscaling_extracted/Na-upscaling/C20Formation C2 Cycle/test_25_cell68_C20Form_C2Cycle_23-03-02_2023_03_02_151011/test_25_cell68_C20Form_C2Cycle_23-03-02_Channel_25_Wb_1.CSV
82,57.0,121.0,test_31_cell121_C20Form_C2Cycle_23-03-09_Channel_31_Wb_1.CSV,csv,test_31_cell121_C20Form_C2Cycle_23-03-09_2023_03_09_123533,98.45,/Users/pranavdevkar/Downloads/Na_upscaling_extracted/Na-upscaling/C20Formation C2 Cycle/test_31_cell121_C20Form_C2Cycle_23-03-09_2023_03_09_123533/test_31_cell121_C20Form_C2Cycle_23-03-09_Channel_31_Wb_1.CSV
83,,,test_41_cel93_C20Form_C2Cycle_23-03-13_Channel_41_Wb_1.CSV,csv,test_41_cel93_C20Form_C2Cycle_23-03-13_2023_03_13_174558,22.88,/Users/pranavdevkar/Downloads/Na_upscaling_extracted/Na-upscaling/C20Formation C2 Cycle/test_41_cel93_C20Form_C2Cycle_23-03-13_2023_03_13_174558/test_41_cel93_C20Form_C2Cycle_23-03-13_Channel_41_Wb_1.CSV
84,,,test_42_cel94_C20Form_C2Cycle_23-03-13_Channel_42_Wb_1.CSV,csv,test_42_cel94_C20Form_C2Cycle_23-03-13_2023_03_13_174610,19.57,/Users/pranavdevkar/Downloads/Na_upscaling_extracted/Na-upscaling/C20Formation C2 Cycle/test_42_cel94_C20Form_C2Cycle_23-03-13_2023_03_13_174610/test_42_cel94_C20Form_C2Cycle_23-03-13_Channel_42_Wb_1.CSV
85,55.0,95.0,test_43_cell95_C20Form_C2Cycle_23-03-13_Channel_43_Wb_1.CSV,csv,test_43_cell95_C20Form_C2Cycle_23-03-13_2023_03_13_174627,21.38,/Users/pranavdevkar/Downloads/Na_upscaling_extracted/Na-upscaling/C20Formation C2 Cycle/test_43_cell95_C20Form_C2Cycle_23-03-13_2023_03_13_174627/test_43_cell95_C20Form_C2Cycle_23-03-13_Channel_43_Wb_1.CSV
86,49.0,78.0,test_47_cell78_C20Form_C2Cycle_23-03-09_Channel_47_Wb_1.CSV,csv,test_47_cell78_C20Form_C2Cycle_23-03-09_2023_03_09_122319,24.39,/Users/pranavdevkar/Downloads/Na_upscaling_extracted/Na-upscaling/C20Formation C2 Cycle/test_47_cell78_C20Form_C2Cycle_23-03-09_2023_03_09_122319/test_47_cell78_C20Form_C2Cycle_23-03-09_Channel_47_Wb_1.CSV
87,7.0,11.0,Na_Crate_cell_11_channel_20.hdf5,hdf5,Crate Tests,159.48,/Users/pranavdevkar/Downloads/Na_upscaling_extracted/Na-upscaling/Crate Tests/Na_Crate_cell_11_channel_20.hdf5
88,23.0,30.0,Na_Crate_cell_30_channel_21.hdf5,hdf5,Crate Tests,59.46,/Users/pranavdevkar/Downloads/Na_upscaling_extracted/Na-upscaling/Crate Tests/Na_Crate_cell_30_channel_21.hdf5
89,30.0,40.0,Na_Crate_cell_40_channel_22.hdf5,hdf5,Crate Tests,64.16,/Users/pranavdevkar/Downloads/Na_upscaling_extracted/Na-upscaling/Crate Tests/Na_Crate_cell_40_channel_22.hdf5
90,38.0,58.0,Na_Crate_cell_58_channel_36.hdf5,hdf5,Crate Tests,104.04,/Users/pranavdevkar/Downloads/Na_upscaling_extracted/Na-upscaling/Crate Tests/Na_Crate_cell_58_channel_36.hdf5
91,39.0,60.0,Na_Crate_cell_60_channel_35.hdf5,hdf5,Crate Tests,74.75,/Users/pranavdevkar/Downloads/Na_upscaling_extracted/Na-upscaling/Crate Tests/Na_Crate_cell_60_channel_35.hdf5
92,40.0,63.0,Na_Crate_cell_63_channel_32.hdf5,hdf5,Crate Tests,44.73,/Users/pranavdevkar/Downloads/Na_upscaling_extracted/Na-upscaling/Crate Tests/Na_Crate_cell_63_channel_32.hdf5
93,41.0,65.0,Na_Crate_cell_65_channel_31.hdf5,hdf5,Crate Tests,37.92,/Users/pranavdevkar/Downloads/Na_upscaling_extracted/Na-upscaling/Crate Tests/Na_Crate_cell_65_channel_31.hdf5
94,48.0,74.0,Na_Crate_cell_74_channel_39.hdf5,hdf5,Crate Tests,23.26,/Users/pranavdevkar/Downloads/Na_upscaling_extracted/Na-upscaling/Crate Tests/Na_Crate_cell_74_channel_39.hdf5
95,56.0,97.0,Na_Crate_cell_97_channel_30.hdf5,hdf5,Crate Tests,17.82,/Users/pranavdevkar/Downloads/Na_upscaling_extracted/Na-upscaling/Crate Tests/Na_Crate_cell_97_channel_30.hdf5
96,7.0,11.0,test_20_cell11_CrateTestC20Form_23-02-22_Channel_20_Wb_1.CSV,csv,test_20_cell11_CrateTestC20Form_23-02-22_2023_02_22_095153,114.0,/Users/pranavdevkar/Downloads/Na_upscaling_extracted/Na-upscaling/Crate Tests/test_20_cell11_CrateTestC20Form_23-02-22_2023_02_22_095153/test_20_cell11_CrateTestC20Form_23-02-22_Channel_20_Wb_1.CSV
97,7.0,11.0,test_20_cell11_CrateTestC20Form_23-02-22_Channel_20_Wb_2.CSV,csv,test_20_cell11_CrateTestC20Form_23-02-22_2023_02_22_095153,105.08,/Users/pranavdevkar/Downloads/Na_upscaling_extracted/Na-upscaling/Crate Tests/test_20_cell11_CrateTestC20Form_23-02-22_2023_02_22_095153/test_20_cell11_CrateTestC20Form_23-02-22_Channel_20_Wb_2.CSV
98,23.0,30.0,test_21_cell30_CrateTestC20Form_23-02-22_Channel_21_Wb_1.CSV,csv,test_21_cell30_CrateTestC20Form_23-02-22_2023_02_22_095216,80.59,/Users/pranavdevkar/Downloads/Na_upscaling_extracted/Na-upscaling/Crate Tests/test_21_cell30_CrateTestC20Form_23-02-22_2023_02_22_095216/test_21_cell30_CrateTestC20Form_23-02-22_Channel_21_Wb_1.CSV
99,30.0,40.0,test_22_cell40_CrateTestC20Form_23-02-22_Channel_22_Wb_1.CSV,csv,test_22_cell40_CrateTestC20Form_23-02-22_2023_02_22_095234,86.99,/Users/pranavdevkar/Downloads/Na_upscaling_extracted/Na-upscaling/Crate Tests/test_22_cell40_CrateTestC20Form_23-02-22_2023_02_22_095234/test_22_cell40_CrateTestC20Form_23-02-22_Channel_22_Wb_1.CSV
100,56.0,97.0,test_30_cell97_CrateTestC20Form_23-03-14_Channel_30_Wb_1.CSV,csv,test_30_cell97_CrateTestC20Form_23-03-14_2023_03_14_164600,23.75,/Users/pranavdevkar/Downloads/Na_upscaling_extracted/Na-upscaling/Crate Tests/test_30_cell97_CrateTestC20Form_23-03-14_2023_03_14_164600/test_30_cell97_CrateTestC20Form_23-03-14_Channel_30_Wb_1.CSV
101,41.0,65.0,test_31_cell65_CrateTestC20Form_23-03-03_Channel_31_Wb_1.CSV,csv,test_31_cell65_CrateTestC20Form_23-03-03_2023_03_03_143306,51.08,/Users/pranavdevkar/Downloads/Na_upscaling_extracted/Na-upscaling/Crate Tests/test_31_cell65_CrateTestC20Form_23-03-03_2023_03_03_143306/test_31_cell65_CrateTestC20Form_23-03-03_Channel_31_Wb_1.CSV
